CourseLink,room_link
https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=185A79&semester=2017S,https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=HGEG05
https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=185A79&semester=2017S,https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=HGEG05A
https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=185A79&semester=2017S,https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=HGEG05A
https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=185A57&semester=2017S,https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=E9
https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=185A57&semester=2017S,https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=E2
https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=185A57&semester=2017S,https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=E3
https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=185A57&semester=2017S,https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=E7
https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=185A57&semester=2017S,https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=E6
https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=185A57&semester=2017S,https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=E9
https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=185A57&semester=2017S,https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=E9
https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=185316&semester=2017S,https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=SEMN
https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=185316&semester=2017S,https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=SEMN
https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=185316&semester=2017S,https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=SEMN
https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=185316&semester=2017S,https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=SEMN
https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=185316&semester=2017S,https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=SEMG
https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=185316&semester=2017S,https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=SEMN
https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=185A74&semester=2017S,https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=E10
https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=185A74&semester=2017S,https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=E10
https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=185278&semester=2017S,https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=H8
https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=185278&semester=2017S,https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=H8
https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=185278&semester=2017S,https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=H8
https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=185278&semester=2017S,https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=H8
https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=185A55&semester=2017S,https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=F5
