Room_URI	Room	Capacity	Institute	Approval Mode	Availability	Building	Address	Room Number
https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=101A	Sem.R. DA grün 03 A	50	E101	via TISS	Verfügbar	Freihausgebäude	Wiedner Hauptstr. 8, Turm A, grüner Bereich, 3. OG	DA03A15
https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=101B	Sem.R. DA grün 03 B	46	E101	via TISS	Verfügbar	Freihausgebäude	Wiedner Hauptstr. 8, Turm A, grüner Bereich, 3. OG	DA03E10
https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=1013	Sem.R. DA grün 03 C	12	E101	via TISS	Verfügbar	Freihausgebäude	Wiedner Hauptstr. 8, Turm A, grüner Bereich, 3. OG	DA03C22
https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=101C	Sem.R. DA grün 04	30	E101	via TISS	Verfügbar	Freihausgebäude	Wiedner Hauptstr. 8, Turm A, grüner Bereich, 4. OG	DA04E10
https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=104	Sem.R. DA grün 05	60	E104	via TISS	Verfügbar	Freihausgebäude	Wiedner Hauptstr. 8, Turm A, grüner Bereich, 5. OG	DA05E10
https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=107	Sem.R. DA grün 06A	30	E105	via TISS	Verfügbar	Freihausgebäude	Wiedner Hauptstr. 8, Turm A, grüner Bereich, 6. OG	DA06E10
https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=1016	Sem.R. DA grün 06B	16	E101	via TISS	Verfügbar	Freihausgebäude	Wiedner Hauptstr. 8, Turm A, grüner Bereich, 6. OG	DA06G10
https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=325%2F2	Sem.R. DB gelb 03	33	E136	via TISS	Verfügbar	Freihausgebäude	Wiedner Hauptstr. 8, Turm B, gelber Bereich, 3. OG	DB03E11
https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=105A	Sem.R. DB gelb 04	30	E105	persönlich	Verfügbar	Freihausgebäude	Wiedner Hauptstr. 8, Turm B, gelber Bereich, 4.OG	DB04E11
https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=134	Sem.R. DB gelb 05 A	32	E134	via TISS	Verfügbar	Freihausgebäude	Wiedner Hauptstr. 8, Turm B, gelber Bereich, 5. OG	DB05E11
https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=134A	Sem.R. DB gelb 05 B	24	E134	via TISS	Verfügbar	Freihausgebäude	Wiedner Hauptstr. 8, Turm B, gelber Bereich, 5. OG	DB05L03
